M,Scheduling,Chunk,T1,T2,T4,T8,T12,S2,S4,S8
1000,dynamic,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,10,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,20,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,30,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,40,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,50,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,60,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,70,0.000000,0.000000,0.000000,0.000000,0.016000,2.000000,4.000000,8.000000
1000,dynamic,80,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,90,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
1000,dynamic,100,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
10000,guided,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
10000,guided,10,0.016000,0.000000,0.000000,0.000000,0.000000,1.968504,3.816794,7.194243
10000,guided,20,0.015000,0.000000,0.000000,0.000000,0.000000,1.970443,3.827750,7.239814
10000,guided,30,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
10000,guided,40,0.016000,0.000000,0.000000,0.000000,0.000000,1.968504,3.816794,7.194243
10000,guided,50,0.016000,0.000000,0.000000,0.000000,0.000000,1.968504,3.816796,7.194254
10000,guided,60,0.015000,0.000000,0.000000,0.000000,0.000000,1.970443,3.827750,7.239814
10000,guided,70,0.000000,0.000000,0.000000,0.000000,0.016000,2.000000,4.000000,8.000000
10000,guided,80,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,8.000000
10000,guided,90,0.015000,0.000000,0.000000,0.000000,0.000000,1.970444,3.827753,7.239825
10000,guided,100,0.000000,0.000000,0.016000,0.000000,0.000000,2.000000,4.000000,8.000000
100000,static,0,0.188000,0.000000,0.078000,0.031000,0.000000,1.683502,2.557545,3.454232
100000,static,10,0.226000,0.001000,0.044000,0.015000,0.000000,1.631322,2.383791,3.098375
100000,static,20,0.204000,0.000000,0.000000,0.000000,0.000000,1.661130,2.481390,3.294893
100000,static,30,0.191000,0.000000,0.063000,0.015000,0.000000,1.679261,2.542911,3.423190
100000,static,40,0.188000,0.000000,0.016000,0.000000,0.000000,1.683502,2.557545,3.454232
100000,static,50,0.202000,0.002000,0.050000,0.016000,0.002000,1.663893,2.490659,3.314000
100000,static,60,0.197000,0.000000,0.000000,0.000000,0.000000,1.670844,2.514142,3.362757
100000,static,70,0.203000,0.000000,0.000000,0.000000,0.000000,1.662510,2.486016,3.304419
100000,static,80,0.203000,0.000000,0.000000,0.000000,0.000000,1.662511,2.486017,3.304421
100000,static,90,0.204000,0.000000,0.046000,0.016000,0.000000,1.661130,2.481390,3.294893
100000,static,100,0.198000,0.000000,0.078000,0.016000,0.000000,1.669449,2.509411,3.352892
